latitude,longitude,drugdrink,misdemean,theft,violent,total,drugdrinkct,misdemeanct,theftct,violentct,totalct
37.708,-122.486,0,1,0,0,0,0,3,3,0,6
37.708,-122.467,0,0,0,0,0,0,1,0,0,1
37.708,-122.466,0,0,0,1,0,0,2,1,2,5
37.708,-122.464,0,0,0,0,0,0,1,2,0,3
37.708,-122.461,0,0,0,0,0,0,2,0,0,2
37.708,-122.458,0,0,0,0,0,0,0,1,0,1
37.708,-122.457,0,1,0,1,0,0,3,1,1,5
37.708,-122.453,0,1,0,3,1,0,4,0,4,8
37.708,-122.452,0,0,0,1,0,0,0,0,2,2
37.708,-122.445,0,0,0,0,0,0,1,0,0,1
37.708,-122.443,0,0,0,1,0,0,0,0,1,1
37.708,-122.429,0,0,0,0,0,0,1,0,0,1
37.708,-122.42,1,1,1,1,1,1,6,4,2,13
37.708,-122.419,0,0,0,0,0,0,1,0,0,1
37.708,-122.413,0,0,0,0,0,0,0,3,0,3
37.709,-122.47,0,2,0,1,1,0,11,2,1,14
37.709,-122.469,1,0,0,0,0,1,2,3,0,6
37.709,-122.465,0,1,0,0,0,0,4,1,0,5
37.709,-122.463,0,1,0,1,1,0,4,2,2,8
37.709,-122.462,0,1,0,0,0,0,3,0,0,3
37.709,-122.461,0,0,0,1,0,0,1,1,1,3
37.709,-122.46,0,1,0,1,1,0,4,3,2,9
37.709,-122.459,0,1,0,0,0,0,4,1,0,5
37.709,-122.458,0,1,0,0,0,0,3,1,0,4
37.709,-122.457,0,2,0,5,1,0,10,0,7,17
37.709,-122.456,0,0,0,0,0,0,1,0,0,1
37.709,-122.455,0,0,0,0,0,0,1,0,0,1
37.709,-122.454,0,2,0,1,1,0,7,2,2,11
37.709,-122.453,0,1,0,0,1,0,6,1,0,7
37.709,-122.452,0,1,1,3,1,0,4,5,4,13
37.709,-122.45,0,0,0,4,0,0,0,0,5,5
37.709,-122.449,0,1,0,0,0,0,3,2,0,5
37.709,-122.448,0,0,0,0,0,0,0,1,0,1
37.709,-122.447,0,1,0,0,0,0,3,1,0,4
37.709,-122.445,0,0,0,3,1,0,2,1,4,7
37.709,-122.444,0,1,0,4,1,0,4,0,6,10
37.709,-122.442,0,0,0,2,0,0,0,0,3,3
37.709,-122.441,0,0,0,0,0,0,0,2,0,2
37.709,-122.439,0,0,1,0,1,0,2,5,0,7
37.709,-122.438,0,1,0,2,1,0,3,1,3,7
37.709,-122.436,0,0,0,0,0,0,1,0,0,1
37.709,-122.435,0,1,0,0,0,0,3,0,0,3
37.709,-122.434,0,0,0,0,0,0,0,1,0,1
37.709,-122.433,0,0,0,1,0,0,0,0,1,1
37.709,-122.432,0,1,0,0,0,0,4,2,0,6
37.709,-122.431,0,0,0,1,0,0,0,3,1,4
37.709,-122.43,0,0,1,0,0,0,0,4,0,4
37.709,-122.429,0,0,0,0,0,0,0,1,0,1
37.709,-122.427,0,0,0,1,0,0,2,0,2,4
37.709,-122.426,1,0,1,0,1,1,2,4,0,7
37.709,-122.424,0,2,0,6,1,0,8,1,8,17
37.709,-122.423,0,3,1,4,2,0,13,7,5,25
37.709,-122.422,0,1,0,0,0,0,3,1,0,4
37.709,-122.421,0,2,0,0,1,0,7,1,0,8
37.709,-122.42,0,2,0,3,1,0,9,2,4,15
37.709,-122.419,0,1,0,1,0,0,3,0,2,5
37.709,-122.418,0,1,0,5,1,0,4,1,7,12
37.709,-122.417,0,2,0,1,1,0,8,2,2,12
37.709,-122.416,0,0,1,2,1,0,1,6,3,10
37.709,-122.415,0,3,0,2,2,0,13,3,3,19
37.709,-122.413,0,0,1,1,1,0,1,4,2,7
37.709,-122.412,0,4,0,9,2,0,16,0,12,28
37.709,-122.407,0,1,0,1,0,0,4,1,1,6
37.709,-122.406,1,1,0,1,1,1,3,3,1,8
37.709,-122.405,1,3,1,4,2,1,14,10,6,31
37.709,-122.401,0,1,0,1,0,0,4,1,1,6
37.709,-122.394,0,1,0,0,0,0,3,1,0,4
37.709,-122.393,0,0,0,0,0,0,2,0,0,2
37.71,-122.471,0,0,0,0,0,0,1,0,0,1
37.71,-122.47,0,0,0,0,0,0,2,1,0,3
37.71,-122.469,0,0,0,0,0,0,0,1,0,1
37.71,-122.465,0,0,0,0,0,0,2,0,0,2
37.71,-122.464,0,0,0,0,0,0,2,0,0,2
37.71,-122.463,0,0,0,4,1,0,1,1,5,7
37.71,-122.462,0,0,0,0,0,0,1,0,0,1
37.71,-122.461,0,1,0,1,1,0,3,3,1,7
37.71,-122.46,0,0,0,0,0,0,0,1,0,1
37.71,-122.459,0,0,0,0,0,0,0,1,0,1
37.71,-122.458,0,0,0,1,0,0,1,0,1,2
37.71,-122.457,1,2,1,3,1,1,8,5,4,18
37.71,-122.456,0,1,0,0,0,0,3,1,0,4
37.71,-122.455,0,1,0,0,0,0,4,2,0,6
37.71,-122.454,0,3,0,4,1,0,12,1,5,18
37.71,-122.453,0,0,0,0,0,0,1,2,0,3
37.71,-122.452,0,0,0,1,0,0,0,0,1,1
37.71,-122.451,0,2,1,4,2,0,7,7,6,20
37.71,-122.45,0,3,1,1,1,0,13,4,1,18
37.71,-122.449,1,0,0,1,0,2,2,0,1,5
37.71,-122.448,0,1,0,0,0,0,3,0,0,3
37.71,-122.446,0,0,1,1,1,0,0,6,1,7
37.71,-122.444,0,2,0,1,1,0,9,1,1,11
37.71,-122.443,0,1,0,0,0,0,4,0,0,4
37.71,-122.442,0,0,0,1,0,0,1,2,1,4
37.71,-122.441,0,1,0,1,0,0,3,2,1,6
37.71,-122.44,0,0,0,2,1,0,2,2,3,7
37.71,-122.439,0,0,0,0,0,0,0,1,0,1
37.71,-122.438,1,1,0,0,0,1,4,1,0,6
37.71,-122.434,0,0,0,1,0,0,2,0,1,3
37.71,-122.433,0,0,1,0,0,0,1,4,0,5
37.71,-122.432,0,0,0,0,0,0,2,1,0,3
37.71,-122.431,0,0,0,1,0,0,1,2,2,5
37.71,-122.426,0,1,0,2,1,0,3,3,3,9
37.71,-122.425,0,0,0,0,0,0,1,1,0,2
37.71,-122.424,0,0,0,0,0,0,1,0,0,1
37.71,-122.423,0,1,0,6,1,0,5,3,8,16
37.71,-122.422,0,1,0,7,1,0,5,3,10,18
37.71,-122.421,0,1,0,0,0,0,3,1,0,4
37.71,-122.42,0,0,0,0,0,0,2,2,0,4
37.71,-122.419,0,2,1,1,2,0,11,7,2,20
37.71,-122.418,0,0,0,0,0,0,2,0,0,2
37.71,-122.417,0,2,1,2,1,0,7,5,3,15
37.71,-122.415,0,0,0,0,0,0,2,0,0,2
37.71,-122.414,0,0,0,3,0,0,1,0,4,5
37.71,-122.413,0,1,0,1,0,0,3,1,1,5
37.71,-122.411,0,0,0,0,0,0,2,0,0,2
37.71,-122.41,1,1,0,0,1,1,4,3,0,8
37.71,-122.409,0,1,0,0,0,0,3,1,0,4
37.71,-122.408,0,0,0,0,0,0,1,3,0,4
37.71,-122.407,0,1,0,3,1,0,3,0,4,7
37.71,-122.406,0,0,0,0,0,0,2,0,0,2
37.71,-122.405,0,2,1,0,1,0,7,4,0,11
37.71,-122.404,0,1,0,1,1,0,3,2,2,7
37.71,-122.401,0,0,0,0,0,0,1,0,0,1
37.71,-122.4,0,0,0,1,0,0,0,1,1,2
37.71,-122.399,0,0,0,1,0,0,2,2,1,5
37.71,-122.398,0,0,1,0,0,0,1,5,0,6
37.71,-122.397,0,1,0,0,0,0,5,0,0,5
37.71,-122.396,0,0,1,0,1,0,2,5,0,7
37.71,-122.392,0,0,0,0,0,0,0,2,0,2
37.71,-122.391,0,0,0,0,0,0,1,2,0,3
37.71,-122.382,0,0,0,0,0,0,1,0,0,1
37.711,-122.471,0,0,0,0,0,0,1,0,0,1
37.711,-122.47,0,0,0,0,0,0,2,1,0,3
37.711,-122.469,0,0,0,0,0,0,0,2,0,2
37.711,-122.468,0,3,2,4,3,0,14,14,5,33
37.711,-122.467,0,0,0,0,0,0,0,3,0,3
37.711,-122.466,0,0,0,0,0,0,0,2,0,2
37.711,-122.465,0,0,0,0,0,0,1,3,0,4
37.711,-122.464,0,0,1,1,1,0,1,7,1,9
37.711,-122.463,0,2,0,1,1,0,8,0,2,10
37.711,-122.461,0,2,1,6,2,0,9,7,8,24
37.711,-122.459,0,0,0,0,0,0,2,0,0,2
37.711,-122.458,0,2,1,2,1,0,7,4,3,14
37.711,-122.456,1,3,1,1,2,1,12,7,2,22
37.711,-122.454,0,1,0,1,1,0,6,1,2,9
37.711,-122.453,0,1,0,0,1,0,6,3,0,9
37.711,-122.452,0,0,0,0,0,0,2,1,0,3
37.711,-122.451,0,1,0,0,0,0,3,2,0,5
37.711,-122.45,0,2,0,0,1,0,10,2,0,12
37.711,-122.449,0,1,0,4,1,0,4,1,6,11
37.711,-122.448,0,1,0,0,0,0,3,2,0,5
